,orderno,sentence
223,119-5,The study was carried out at three field sites used for wheat phenotyping purposes in Southern Spain during the 2015 and 2016 growing seasons.
224,119-6,Airborne campaigns acquired imagery with two hyperspectral cameras covering the 400-850 nm (20 cm resolution) and 950-1750 mn (50 cm resolution) spectral regions.
225,119-7,"The performance of multiple regression models built for N quantification with and without including the airborne-retrieved SIF was compared with the performance of models built with plant traits estimated by model inversion, and also with standard approaches based on single spectral indices."
226,119-8,"Results showed that the accuracy of the models for N retrieval increased when chlorophyll fluorescence was included (r(LOOCV )(2)>= 0.92; p < 0.0005) as compared to models only built with chlorophyll a + b (C-ab), dry matter (C-m) and equivalent water thickness (C-w) plant traits (r(LOOCV)(2) ranged from 0.68 to 0.77; p < 0.005)."
227,119-9,"Moreover, nitrogen indices (NIs) centered at 1510 nm yielded more reliable agreements with N concentration (r(2) = 0.69) than traditional chlorophyll indices (TCARI/ OSAVI r(2) = 0.45) and structural indices (NDVI r(2) = 0.57) calculated in the VNIR region."
228,119-10,"This work demonstrates that under irrigated and non-irrigated conditions, indicators directly linked with photosynthesis such as chlorophyll fluorescence improves predictions of N concentration."
229,12-1,"Near-surface specific humidity (q(a)) and air temperature (T-a) over the global ocean are important meteorological variables, but they cannot be retrieved directly from remote sensing."
230,12-2,Many efforts have been made to develop algorithms that derive q(a) and T-a from multisensor microwave and/or infrared observations using in situ measurements as training datasets.
231,12-3,"However, uncertainty remains large in the resultant q(a) and T-a retrievals."
232,12-4,"In this study, 147 moored surface buoys are used to examine how buoy measured q(a) and T-a are related to satellite microwave brightness temperature (Tb) on the spatial scale from the warm/humid tropics to the cold/dry high latitudes."
233,12-5,"It is found that the Tb - q(a) and Tb - T-a relations are structured along two distinct, near-linear bands, with the primary band in the warm/humid regime and a secondary (weaker) band in the cold/dry regime."
234,12-6,The step-like transition (or separation) between the two regimes occurs at 8-10 g kg(-1) for q(a) and 14-17 degrees C for T-a.
235,12-7,The evidence suggests that one algorithm may not be sufficient to extract q(a) and T-a from Tb in all regimes.
236,12-8,"Therefore, a high-latitude enhancement is added to the global algorithm so that the q(a) and T-a retrievals in the dry/cold regime can be specifically addressed."
237,12-9,"The new algorithms are applied to 11 microwave sensors, including SSM/I, SSMIS, and AMSU-A, from 1988 to 2016."
238,12-10,"Based on the 475,717 buoy collocations during the 29-year period, the retrieved q(a) and T-a have root-mean-square differences of 0.82 g kg(-1) and 0.51 degrees C, respectively."
239,120-1,Inhalation of airborne particulate matter (PM) is associated with a variety of adverse health outcomes.
240,120-2,"However, the relative toxicity of specific PM types-mixtures of particles of varying sizes, shapes, and chemical compositions-is not well understood."
241,120-3,"A major impediment has been the sparse distribution of surface sensors, especially those measuring speciated PM."
242,120-4,Aerosol remote sensing from Earth orbit offers the opportunity to improve our understanding of the health risks associated with different particle types and sources.
243,120-5,The Multi-angle Imaging SpectroRadiometer (MISR) instrument aboard NASA's Terra satellite has demonstrated the value of near-simultaneous observations of backscattered sunlight from multiple view angles for remote sensing of aerosol abundances and particle properties over land.
244,120-6,"The Multi-Angle Imager for Aerosols (MAIA) instrument, currently in development, improves on MISR's sensitivity to airborne particle composition by incorporating polarimetry and expanded spectral range."
245,120-7,"Spatiotemporal regression relationships generated using collocated surface monitor and chemical transport model data will be used to convert fractional aerosol optical depths retrieved from MAIA observations to near-surface PM10, PM2.5, and speciated PM2.5."
